time,Cd,Cl
0.000000,3.173581e+00,7.577659e-01
0.005000,3.177352e+00,8.327171e-01
0.010000,3.182919e+00,8.847576e-01
0.015000,3.188900e+00,9.289712e-01
0.020000,3.194726e+00,9.649274e-01
0.025000,3.200559e+00,9.923351e-01
0.030000,3.205829e+00,1.010924e+00
0.035000,3.210701e+00,1.020577e+00
0.040000,3.214648e+00,1.021198e+00
0.045000,3.217869e+00,1.012835e+00
0.050000,3.219910e+00,9.955641e-01
0.055000,3.221024e+00,9.695879e-01
0.060000,3.220851e+00,9.351359e-01
0.065000,3.219707e+00,8.925536e-01
0.070000,3.217334e+00,8.422079e-01
0.075000,3.214109e+00,7.845685e-01
0.080000,3.209867e+00,7.201222e-01
0.085000,3.205036e+00,6.494468e-01
0.090000,3.199521e+00,5.731337e-01
0.095000,3.193780e+00,4.918547e-01
0.100000,3.187766e+00,4.062923e-01
0.105000,3.181935e+00,3.171984e-01
0.110000,3.176256e+00,2.253307e-01
0.115000,3.171161e+00,1.315046e-01
0.120000,3.166603e+00,3.653474e-02
0.125000,3.162965e+00,-5.872120e-02
0.130000,3.160158e+00,-1.534150e-01
0.135000,3.158494e+00,-2.466741e-01
0.140000,3.157827e+00,-3.376477e-01
0.145000,3.158384e+00,-4.254821e-01
0.150000,3.159949e+00,-5.093606e-01
0.155000,3.162665e+00,-5.884860e-01
0.160000,3.166244e+00,-6.621148e-01
0.165000,3.170749e+00,-7.295458e-01
0.170000,3.175834e+00,-7.901457e-01
0.175000,3.181498e+00,-8.433440e-01
0.180000,3.187359e+00,-8.886496e-01
0.185000,3.193379e+00,-9.256505e-01
0.190000,3.199166e+00,-9.540200e-01
0.195000,3.204679e+00,-9.735216e-01
0.200000,3.209550e+00,-9.840033e-01
0.205000,3.213766e+00,-9.854079e-01
0.210000,3.217012e+00,-9.777560e-01
0.215000,3.219333e+00,-9.611622e-01
0.220000,3.220490e+00,-9.358082e-01
0.225000,3.220601e+00,-9.019639e-01
0.230000,3.219514e+00,-8.599541e-01
0.235000,3.217426e+00,-8.101845e-01
0.240000,3.214267e+00,-7.531024e-01
0.245000,3.210306e+00,-6.892298e-01
0.250000,3.205543e+00,-6.191195e-01
0.255000,3.200296e+00,-5.433930e-01
0.260000,3.194611e+00,-4.626935e-01
0.265000,3.188834e+00,-3.777270e-01
0.270000,3.183030e+00,-2.892121e-01
0.275000,3.177541e+00,-1.979232e-01
0.280000,3.172422e+00,-1.046378e-01
0.285000,3.167990e+00,-1.018073e-02
0.290000,3.164264e+00,8.463069e-02
0.295000,3.161508e+00,1.789441e-01
0.300000,3.159688e+00,2.719268e-01
0.305000,3.159000e+00,3.627271e-01
0.310000,3.159341e+00,4.505273e-01
0.315000,3.160831e+00,5.345100e-01
0.320000,3.163293e+00,6.139074e-01
0.325000,3.166772e+00,6.879718e-01
0.330000,3.171021e+00,7.560210e-01
0.335000,3.176018e+00,8.174124e-01
0.340000,3.181464e+00,8.715822e-01
0.345000,3.187285e+00,9.180236e-01
